index,company_id,company_name,total,handled,valuable,ICP,domain,institution
1000,北京右划网络科技有限公司,https://www.butian.net/Company/61232,5,4,0,N/A,N/A,N/A
1001,上海竟跃网络科技有限公司,https://www.butian.net/Company/61231,11,8,0,沪ICP备16025635号-1,www.lygou.cc,企业
1002,全友家私有限公司,https://www.butian.net/Company/61229,37,18,1,蜀ICP备13002186号-3,www.quanyou.cn,企业
1003,红彤汽车,https://www.butian.net/Company/61228,13,10,1,N/A,N/A,N/A
1004,深圳新闻网传媒股份有限公司,https://www.butian.net/Company/61227,15,12,1,粤ICP备16092393号-5,www.luoohu.com,企业
1005,外教社,https://www.butian.net/Company/61222,41,26,1,N/A,N/A,N/A
1006,大同市人民政府办公厅,https://www.butian.net/Company/61221,1,0,0,N/A,N/A,N/A
1007,徐州市中心医院,https://www.butian.net/Company/61220,15,13,1,N/A,N/A,N/A
1008,汇桔网,https://www.butian.net/Company/61218,22,16,1,N/A,N/A,N/A
1009,广州阿拉丁物联网络科技股份有限公司,https://www.butian.net/Company/61217,27,18,1,粤ICP备13078266号-20,www.gyhwy.com,企业
1010,北京逗游网终技术有限公司,https://www.butian.net/Company/61214,8,1,0,N/A,N/A,N/A
1011,太仓市生产力促进中心,https://www.butian.net/Company/61213,9,9,0,N/A,N/A,N/A
1012,安徽省皖北煤电集团有限责任公司,https://www.butian.net/Company/61212,13,1,0,皖ICP备06003399号-1,www.wbmd.cn,企业
1013,重庆长安汽车,https://www.butian.net/Company/61211,74,17,1,N/A,N/A,N/A
1014,秦皇岛市五六七七零网络科技有限公司,https://www.butian.net/Company/61210,10,6,0,N/A,N/A,N/A
1015,广东绿瘦电子商务有限公司,https://www.butian.net/Company/61209,25,9,0,粤ICP备13080789号-38,www.lvshou.com,企业
1016,成都融政通互联网信息服务有限公司,https://www.butian.net/Company/61207,6,0,0,N/A,N/A,N/A
1017,浙江齐聚科技有限公司,https://www.butian.net/Company/61202,37,31,1,浙B2-20090246-12,www.shenhua55.com,企业
1018,南昌市科学技术局,https://www.butian.net/Company/61198,11,11,1,N/A,N/A,N/A
1019,广西工商职业学院,https://www.butian.net/Company/61194,15,4,0,N/A,N/A,N/A
1020,吉林省社会保险事业管理局,https://www.butian.net/Company/61193,6,3,0,吉ICP备05005982号-2,www.jlsi.jl.gov.cn,事业单位
1021,杭州红易图网络科技有限公司,https://www.butian.net/Company/61192,18,14,1,浙ICP备09012673号-1,www.red123.com,企业
1022,北京思拓合众科技有限公司,https://www.butian.net/Company/61191,20,3,0,京ICP备09082107号-7,www.zhimeizhuli.com,企业
1023,深圳市蜕变传媒有限公司,https://www.butian.net/Company/61190,0,0,0,N/A,N/A,N/A
1024,宁波市质量技术监督局,https://www.butian.net/Company/61189,6,6,0,N/A,N/A,N/A
1025,海南大学,https://www.butian.net/Company/61188,34,25,1,琼ICP备05000523号-2,www.hainanu.edu.cn,事业单位
1026,中银国际期货有限责任公司,https://www.butian.net/Company/61185,2,2,0,沪ICP备08012798号-1,www.zygjqh.com,企业
1027,深圳联通,https://www.butian.net/Company/61183,233,187,1,N/A,N/A,N/A
1028,渤海人寿保险股份有限公司,https://www.butian.net/Company/61182,23,15,1,津ICP备15001549号-2,www.ebohailife.net,企业
1029,安徽省劳动就业服务局,https://www.butian.net/Company/61181,10,10,1,皖ICP备16024713号-4,www.ygjy.ah.gov.cn,事业单位
1030,杭州绿云科技有限公司,https://www.butian.net/Company/61176,23,9,0,浙ICP备11052993号-2,www.ihotel.cn,企业
1031,太原科技大学,https://www.butian.net/Company/61175,36,35,1,晋ICP备11007549号-1,www.tyust.edu.cn,事业单位
1032,深圳星聚网络有限公司,https://www.butian.net/Company/61174,15,0,0,N/A,N/A,N/A
1033,中国(太原)煤炭交易中心,https://www.butian.net/Company/61171,11,4,0,N/A,N/A,N/A
1034,北京六趣网络科技有限公司,https://www.butian.net/Company/61170,22,19,1,京ICP备13038039号-2,www.66rpg.com,企业
1035,温州医科大,https://www.butian.net/Company/61169,61,18,1,N/A,N/A,N/A
1036,广东省地质调查院,https://www.butian.net/Company/61167,0,0,0,粤ICP备19049431号-1,www.gdgsi.com,事业单位
1037,安徽新辉传媒有限公司,https://www.butian.net/Company/61165,1,1,0,N/A,N/A,N/A
1038,宜昌市人民政府,https://www.butian.net/Company/61160,11,10,1,N/A,N/A,N/A
1039,宝应县人民政府,https://www.butian.net/Company/61159,6,0,0,N/A,N/A,N/A
1040,长江大学工程技术学院首页,https://www.butian.net/Company/61156,4,0,0,N/A,N/A,N/A
1041,猎聘,https://www.butian.net/Company/61154,5,0,0,N/A,N/A,N/A
1042,人民大学,https://www.butian.net/Company/61152,191,126,1,N/A,N/A,N/A
1043,北京博图纵横科技有限责任公司,https://www.butian.net/Company/61140,14,13,1,京ICP备14000729号-4,www.btzh.net,企业
1044,重庆猪八戒网络有限公司,https://www.butian.net/Company/61137,9,5,0,N/A,N/A,N/A
1045,artron,https://www.butian.net/Company/61135,21,16,1,N/A,N/A,N/A
1046,湖南省委党校,https://www.butian.net/Company/61134,1,1,0,N/A,N/A,N/A
1047,铜仁市环境保护局,https://www.butian.net/Company/61131,1,0,0,N/A,N/A,N/A
1048,沛县新闻中心,https://www.butian.net/Company/61128,9,0,0,N/A,N/A,N/A
1049,一汽大众,https://www.butian.net/Company/61122,101,57,1,N/A,N/A,N/A
1050,上海佰集信息科技有限公司,https://www.butian.net/Company/61121,11,1,0,沪ICP备11018329号-7,www.jianshuapl.com,企业
1051,兰铁信息技术有限责任公司,https://www.butian.net/Company/61118,4,3,0,N/A,N/A,N/A
1052,无锡市新视点网络科技有限公司,https://www.butian.net/Company/61116,5,2,0,苏ICP备09042555号-13,www.szpwjg.com,企业
1053,上海寻梦信息技术有限公司,https://www.butian.net/Company/61114,8,2,0,沪ICP备15010535号-13,www.pinduoduo.com,企业
1054,湖北荆楚网络科技股份有限公司,https://www.butian.net/Company/61105,13,0,0,鄂ICP备13000573号-1,www.cnhubei.com,企业
1055,马鞍山市住房公积金管理中心,https://www.butian.net/Company/61104,2,2,0,皖ICP备20013290号-2,www.masgjj.cn,事业单位
1056,四川省科学技术厅,https://www.butian.net/Company/61095,13,12,1,蜀ICP备20023911号-1,202.61.89.223,政府机关
1057,上海厚本金融信息服务有限公司,https://www.butian.net/Company/61093,6,2,0,N/A,N/A,N/A
1058,深圳市洛克婚戒网络科技有限公司,https://www.butian.net/Company/61091,32,20,1,N/A,N/A,N/A
1059,深圳前海百递网络有限公司,https://www.butian.net/Company/61088,13,4,0,粤ICP备14085002号-5,www.kuaidi100.com,企业
1060,深圳市立创电子商务有限公司,https://www.butian.net/Company/61087,12,0,0,粤ICP备13005967号-9,www.szicsc.com,企业
1061,深圳市嘉立创科技发展有限公司,https://www.butian.net/Company/61086,3,0,0,N/A,N/A,N/A
1062,瑞丽航空有限公司,https://www.butian.net/Company/61081,9,7,0,N/A,N/A,N/A
1063,华测检测,https://www.butian.net/Company/61077,12,0,0,N/A,N/A,N/A
1064,北京爱书客,https://www.butian.net/Company/61072,51,20,1,N/A,N/A,N/A
1065,铜川市人力资源和社会保障局,https://www.butian.net/Company/61071,7,0,0,陕ICP备17015419号-5,www.sso.tongchuanhrss.gov.cn,政府机关
1066,中智,https://www.butian.net/Company/61064,22,4,0,N/A,N/A,N/A
1067,海南赞赞网络科技有限公司,https://www.butian.net/Company/61062,14,10,1,N/A,N/A,N/A
1068,西南科技大学,https://www.butian.net/Company/61060,89,80,1,蜀ICP备13012090号-1,www.swust.edu.cn,事业单位
1069,安徽省物价局,https://www.butian.net/Company/61055,10,0,0,N/A,N/A,N/A
1070,湖南水利水电职业技术学院,https://www.butian.net/Company/61050,4,4,0,湘ICP备09024457号-1,www.hnslsdxy.com,事业单位
1071,鄂尔多斯市金威建设集团有限公司,https://www.butian.net/Company/61049,24,1,0,N/A,N/A,N/A
1072,ZAMS,https://www.butian.net/Company/61044,5,0,0,N/A,N/A,N/A
1073,上海羽客信息科技有限公司,https://www.butian.net/Company/61043,2,0,0,沪ICP备09061335号-4,www.friendbonushub.com,企业
1074,张家港市人力资源和社会保障局,https://www.butian.net/Company/61042,4,4,0,苏ICP备2021007068号-1,218.4.136.208,政府机关
1075,中国航空报社,https://www.butian.net/Company/61041,9,8,0,N/A,N/A,N/A
1076,保定市人力资源和社会保障局,https://www.butian.net/Company/61040,2,0,0,冀ICP备15026174号-2,www.rsj.baoding.gov.cn,政府机关
1077,广州摩拉网络科技有限公司,https://www.butian.net/Company/61039,9,2,0,N/A,N/A,N/A
1078,株洲新闻网广告部,https://www.butian.net/Company/61035,6,6,0,N/A,N/A,N/A
1079,安徽省人民政府网站,https://www.butian.net/Company/61028,10,0,0,N/A,N/A,N/A
1080,中共宿迁市宿城区委组织部,https://www.butian.net/Company/61027,2,0,0,N/A,N/A,N/A
1081,脚本之家网,https://www.butian.net/Company/61025,16,11,1,N/A,N/A,N/A
1082,浙江省乐清市教育局,https://www.butian.net/Company/61022,12,12,1,N/A,N/A,N/A
1083,安徽省公安厅网站群,https://www.butian.net/Company/61019,7,2,0,N/A,N/A,N/A
1084,西安建设工程交易中心,https://www.butian.net/Company/61015,13,13,1,N/A,N/A,N/A
1085,湖南省直单位住房公积金管理中心,https://www.butian.net/Company/61011,8,0,0,湘ICP备05007182号-1,www.xzgjj.com,事业单位
1086,宿迁人力资源和社会保障局,https://www.butian.net/Company/61009,1,0,0,N/A,N/A,N/A
1087,湖州市大数据管理中心,https://www.butian.net/Company/61008,5,0,0,N/A,N/A,N/A
1088,湖北省教育考试院,https://www.butian.net/Company/61007,4,2,0,鄂ICP备17028011号-2,www.hubeixuekao.com,事业单位
1089,微乐商城,https://www.butian.net/Company/61006,19,2,0,N/A,N/A,N/A
1090,千钧万博（北京）信息技术有限公司,https://www.butian.net/Company/61003,7,7,0,京ICP备09080754号-1,www.techweb.com.cn,企业
1091,宿迁市电子政务办公室,https://www.butian.net/Company/61001,36,2,0,N/A,N/A,N/A
1092,北京纷扬科技有限责任公司,https://www.butian.net/Company/61000,6,5,0,京ICP备2022031938号-6,www.fenxiangcrm.com,企业
1093,广州市和能投资有限公司,https://www.butian.net/Company/60996,2,0,0,N/A,N/A,N/A
1094,贵港市住房公积金管理中心,https://www.butian.net/Company/60994,1,0,0,桂ICP备07501440号-3,www.zfgjj.gxgg.gov.cn,事业单位
1095,十堰市人民政府门户网站,https://www.butian.net/Company/60992,9,6,0,N/A,N/A,N/A
1096,安徽深燃天然气有限公司,https://www.butian.net/Company/60987,4,3,0,N/A,N/A,N/A
1097,西安普惠健康体检有限公司,https://www.butian.net/Company/60973,24,2,0,陕ICP备11008537号-2,222.90.212.62,企业
1098,南通市人力资源和社会保障局,https://www.butian.net/Company/60971,13,13,1,N/A,N/A,N/A
1099,邢台市人力资源和社会保障局,https://www.butian.net/Company/60968,4,2,0,冀ICP备12018814号-6,www.hext.lss.gov.cn,政府机关
1100,宜春职业技术学院,https://www.butian.net/Company/60961,31,17,1,N/A,N/A,N/A
1101,M800,https://www.butian.net/Company/60959,2,2,0,N/A,N/A,N/A
1102,江西水利职业学院,https://www.butian.net/Company/60958,21,21,1,N/A,N/A,N/A
1103,江西航空职业技术学院,https://www.butian.net/Company/60955,13,11,1,赣ICP备2022006732号-1,www.jhzyedu.cn,民办非企业单位
1104,南昌理工学院,https://www.butian.net/Company/60954,40,29,1,赣ICP备12004272号-3,www.gqkj.com.cn,民办非企业单位
1105,上饶师范学院,https://www.butian.net/Company/60952,14,12,1,赣ICP备05002080号-1,www.sru.jx.cn,事业单位
1106,江西师范高等专科学校,https://www.butian.net/Company/60935,15,13,1,赣ICP备17002643号-2,www.jxsfgz.com,事业单位
1107,井冈山大学,https://www.butian.net/Company/60933,0,0,0,赣ICP备05001231号-2,www.jgs360.cn,事业单位
1108,广州中缆信息科技有限公司,https://www.butian.net/Company/60932,24,22,1,粤ICP备12041652号-32,www.zhonglanjob.com,企业
1109,得仕股份有限公司,https://www.butian.net/Company/60931,1,0,0,沪ICP备10017814号-1,www.daysservices.com,企业
1110,sitc,https://www.butian.net/Company/60929,10,0,0,N/A,N/A,N/A
1111,江西机电职业技术学院,https://www.butian.net/Company/60928,8,5,0,赣ICP备14005714号-1,www.jxjdxy.edu.cn,事业单位
1112,江西医学高等专科学校,https://www.butian.net/Company/60927,11,11,1,赣ICP备19010140号-1,www.jxyxgz.cn,事业单位
1113,江西旅游商贸职业学院,https://www.butian.net/Company/60926,26,23,1,赣ICP备10004216号-3,www.jxlsxy.edu.cn,事业单位
1114,赣州师范高等专科学校,https://www.butian.net/Company/60925,12,11,1,赣ICP备10004024号-1,www.ganzhsz.cn,事业单位
1115,江西建设职业技术学院,https://www.butian.net/Company/60922,12,12,1,赣ICP备14006002号-3,www.jxjsxy.edu.cn,事业单位
1116,河北航空,https://www.butian.net/Company/60907,11,5,0,N/A,N/A,N/A
1117,台州日报社,https://www.butian.net/Company/60898,6,2,0,N/A,N/A,N/A
1118,乐山创艺网络科技有限公司,https://www.butian.net/Company/60897,3,1,0,N/A,N/A,N/A
1119,无二之旅,https://www.butian.net/Company/60895,2,2,0,N/A,N/A,N/A
1120,上海比璟网络科技有限公司,https://www.butian.net/Company/60893,4,0,0,N/A,N/A,N/A
1121,郑州轨道交通有限公司,https://www.butian.net/Company/60891,29,26,1,N/A,N/A,N/A
1122,海大集团,https://www.butian.net/Company/60883,40,39,1,N/A,N/A,N/A
1123,郑州市中奥网络技术有限公司,https://www.butian.net/Company/60876,5,3,0,N/A,N/A,N/A
1124,河南电子音像出版社有限公司,https://www.butian.net/Company/60875,19,4,0,豫ICP备09007830号-1,www.zzstep.com,企业
