index,company_id,company_name,total,handled,valuable
1,上海科技大学,https://www.butian.net/Company/64866,35,8,0
2,宁波大学附属妇女儿童医院,https://www.butian.net/Company/64864,0,0,0
3,重庆两江新区安道服务外包软件职业培训学校,https://www.butian.net/Company/64863,4,1,0
4,杭州九阳豆业有限公司,https://www.butian.net/Company/64853,13,11,1
5,南昌大学第二附属医院,https://www.butian.net/Company/64851,15,1,0
6,温州大唐盛世传媒有限公司,https://www.butian.net/Company/64848,4,0,0
7,山大地纬软件股份有限公司,https://www.butian.net/Company/64847,9,6,0
8,沈阳加娜文教科技有限公司,https://www.butian.net/Company/64846,0,0,0
9,上海市教育考试院,https://www.butian.net/Company/64845,9,2,0
10,特步（中国）有限公司,https://www.butian.net/Company/64843,14,2,0
11,广州青矩数字科技有限责任公司,https://www.butian.net/Company/64840,6,1,0
12,上海商米科技集团股份有限公司,https://www.butian.net/Company/64838,34,19,1
13,北京信源电子信息技术有限公司,https://www.butian.net/Company/64835,7,7,0
14,品茗科技股份有限公司,https://www.butian.net/Company/64834,67,58,1
15,山西焦煤焦炭国际交易中心股份有限公司,https://www.butian.net/Company/64833,1,1,0
16,内蒙古电力（集团）有限责任公司,https://www.butian.net/Company/64830,8,3,0
17,厦门快普信息技术有限公司,https://www.butian.net/Company/64828,23,0,0
18,山东博科生物产业有限公司,https://www.butian.net/Company/64827,7,6,0
19,郑州市景安网络科技股份有限公司,https://www.butian.net/Company/64824,8,0,0
20,石家庄学院,https://www.butian.net/Company/64820,14,1,0
21,泰安云豹网络科技有限公司,https://www.butian.net/Company/64819,16,1,0
22,武汉大学出版社有限责任公司,https://www.butian.net/Company/64818,9,1,0
23,济川药业集团有限公司,https://www.butian.net/Company/64814,29,4,0
24,安徽啊帕奇工业技术有限公司,https://www.butian.net/Company/64813,2,0,0
25,万华化学集团股份有限公司,https://www.butian.net/Company/64812,18,6,0
26,河南焱火体育产业有限公司,https://www.butian.net/Company/64805,24,23,1
27,新奥集团股份有限公司,https://www.butian.net/Company/64797,104,24,1
28,山西焦煤集团有限责任公司,https://www.butian.net/Company/64795,10,1,0
29,百家云集团有限公司,https://www.butian.net/Company/64791,58,11,1
30,上海学栈教育科技有限公司,https://www.butian.net/Company/64790,4,4,0
31,嘉兴职业技术学院,https://www.butian.net/Company/64786,7,5,0
32,数尚（浙江）科技有限公司,https://www.butian.net/Company/64785,0,0,0
33,安徽师范大学,https://www.butian.net/Company/64784,33,0,0
34,特变电工新疆新能源股份有限公司,https://www.butian.net/Company/64777,24,9,0
35,上海出版印刷高等专科学校,https://www.butian.net/Company/64770,3,3,0
36,中国科学院计算机网络信息中心,https://www.butian.net/Company/64769,22,2,0
37,袁隆平农业高科技股份有限公司,https://www.butian.net/Company/64767,39,35,1
38,安艾艾迪信息技术（上海）有限公司,https://www.butian.net/Company/64766,8,8,0
39,四川文动网络科技有限公司,https://www.butian.net/Company/64760,4,0,0
40,浙江脑动极光医疗科技有限公司,https://www.butian.net/Company/64758,22,15,1
41,杭州电子科技大学,https://www.butian.net/Company/64754,61,2,0
42,河南草柴网络技术有限公司,https://www.butian.net/Company/64752,3,3,0
43,中国融通财产保险有限公司,https://www.butian.net/Company/64749,0,0,0
44,百威投资（中国）有限公司,https://www.butian.net/Company/64748,13,0,0
45,郑州经贸学院,https://www.butian.net/Company/64746,4,4,0
46,上海应用技术大学,https://www.butian.net/Company/64744,18,7,0
47,特变电工股份有限公司,https://www.butian.net/Company/64743,94,28,1
48,江阴海澜科技有限公司,https://www.butian.net/Company/64742,14,14,1
49,郑州日产汽车有限公司,https://www.butian.net/Company/64739,55,53,1
50,秦皇岛市妇幼保健院,https://www.butian.net/Company/64738,3,3,0
51,汕头大学医学院第一附属医院,https://www.butian.net/Company/64732,9,8,0
52,正大集团,https://www.butian.net/Company/64731,53,34,1
53,北京宏景世纪软件股份有限公司,https://www.butian.net/Company/64730,88,1,0
54,浙江正凯集团股份有限公司,https://www.butian.net/Company/64728,29,26,1
55,邯郸市中心医院,https://www.butian.net/Company/64727,6,6,0
56,成都泉鸣网络科技有限公司,https://www.butian.net/Company/64725,3,3,0
57,上海市培训协会,https://www.butian.net/Company/64723,8,8,0
58,西北大学第一医院,https://www.butian.net/Company/64716,4,4,0
59,华律,https://www.butian.net/Company/64709,12,12,1
60,贵阳星力百货集团有限公司,https://www.butian.net/Company/64708,57,34,1
61,北京华创无限科技有限公司,https://www.butian.net/Company/64703,14,7,0
62,福建省龙岩市第三医院,https://www.butian.net/Company/64702,17,17,1
63,北京中企会人力资源科技有限公司,https://www.butian.net/Company/64697,8,8,0
64,石家庄市人民医院,https://www.butian.net/Company/64692,8,8,0
65,燕山大学,https://www.butian.net/Company/64689,42,1,0
66,中金基金管理有限公司,https://www.butian.net/Company/64686,9,7,0
67,乐山师范学院,https://www.butian.net/Company/64683,32,30,1
68,浙江大学医学院附属妇产科医院,https://www.butian.net/Company/64679,35,19,1
69,佛山市旗元钢业有限公司,https://www.butian.net/Company/64677,3,3,0
70,赣州雨清信息技术有限公司,https://www.butian.net/Company/64672,23,10,1
71,浙江顺帮网络科技有限公司,https://www.butian.net/Company/64671,11,11,1
72,河北环境工程学院,https://www.butian.net/Company/64658,7,7,0
73,浙江省人民医院,https://www.butian.net/Company/64652,20,8,0
74,山西焦煤山西焦化,https://www.butian.net/Company/64649,9,5,0
75,北京茗爻科技有限公司,https://www.butian.net/Company/64643,6,2,0
76,合肥贰道网络科技有限公司,https://www.butian.net/Company/64639,1,1,0
77,上海市政工程设计研究总院（集团）有限公司,https://www.butian.net/Company/64638,9,8,0
78,广东省政务服务数据管理局,https://www.butian.net/Company/64634,0,0,0
79,深圳市新兰德证券投资咨询有限公司,https://www.butian.net/Company/64630,7,7,0
80,南昌应用技术师范学院,https://www.butian.net/Company/64628,15,15,1
81,上汽通用汽车金融有限责任公司,https://www.butian.net/Company/64627,0,0,0
82,北京德衍睿通科技有限公司,https://www.butian.net/Company/64621,11,11,1
83,商丘学院,https://www.butian.net/Company/64618,23,5,0
84,近付科技（杭州）合伙企业（有限合伙）,https://www.butian.net/Company/64613,0,0,0
85,北京至臻云智能科技有限公司,https://www.butian.net/Company/64611,26,25,1
86,亿海蓝（北京）数据技术股份公司,https://www.butian.net/Company/64609,42,35,1
87,国信蓝桥教育科技股份有限公司,https://www.butian.net/Company/64608,4,2,0
88,南昌职业大学,https://www.butian.net/Company/64605,12,9,0
89,北京第二外国语学院,https://www.butian.net/Company/64601,14,1,0
90,中华全国妇女联合会,https://www.butian.net/Company/64600,2,0,0
91,北京港岚达网络科技发展有限公司,https://www.butian.net/Company/64597,20,20,1
92,福建中信网安信息科技有限公司,https://www.butian.net/Company/64596,4,0,0
93,国信蓝桥数字科技（北京）有限公司,https://www.butian.net/Company/64595,6,5,0
94,北京捷迅通力工程咨询有限公司,https://www.butian.net/Company/64593,1,0,0
95,北京淳中科技股份有限公司,https://www.butian.net/Company/64590,42,21,1
96,北京中文万维科技有限公司,https://www.butian.net/Company/64589,34,28,1
97,华鑫期货有限公司,https://www.butian.net/Company/64586,3,2,0
98,北京蓝犀牛信息技术有限公司,https://www.butian.net/Company/64584,20,11,1
99,北京万方数据股份有限公司,https://www.butian.net/Company/64583,32,21,1
100,北京秦峰昕鑫商贸有限公司,https://www.butian.net/Company/64581,8,7,0
101,中国铝业集团有限公司,https://www.butian.net/Company/64577,11,5,0
102,北京七麦科技股份有限公司,https://www.butian.net/Company/64574,15,15,1
103,武汉维佳置业有限责任公司,https://www.butian.net/Company/64554,2,2,0
104,济南博科智能化工程有限公司,https://www.butian.net/Company/64550,14,14,1
105,罗宾电子测试2,https://www.butian.net/Company/64547,5,4,0
106,中电华软投资集团有限公司,https://www.butian.net/Company/64531,4,2,0
107,测试企业勿提交,https://www.butian.net/Company/64528,0,0,0
108,古茗科技集团有限公司,https://www.butian.net/Company/64525,14,11,1
109,民政部信息中心,https://www.butian.net/Company/64514,0,0,0
110,鑫方盛数智科技股份有限公司,https://www.butian.net/Company/64512,37,36,1
111,北京方盛云采电子商务有限公司,https://www.butian.net/Company/64511,16,12,1
112,北京继教网教育科技发展有限公司,https://www.butian.net/Company/64510,14,11,1
113,广东粤海控股集团有限公司,https://www.butian.net/Company/64507,4,1,0
114,慕课网,https://www.butian.net/Company/64505,66,5,0
115,北京汇众益智科技有限公司,https://www.butian.net/Company/64503,20,2,0
116,李锦记（新会）食品有限公司,https://www.butian.net/Company/64500,13,12,1
117,北京信息职业技术学院,https://www.butian.net/Company/64497,24,14,1
118,北京道勤投资管理有限公司,https://www.butian.net/Company/64493,40,39,1
119,中海物业管理有限公司,https://www.butian.net/Company/64492,18,13,1
120,文化和旅游部全国公共文化发展中心,https://www.butian.net/Company/64485,16,14,1
121,中国移动通信集团山东有限公司,https://www.butian.net/Company/64480,3,2,0
